diode_frequency \g(r)\-(11) \g(r)\-(22) \g(r)\-(33) \g(r)\-(44) Re\g(s)\-(12) Im\g(s)\-(12) Re\g(s)\-(23) Im\g(s)\-(23) Re\g(s)\-(14) Im\g(s)\-(14) Re\g(s)\-(43) Im\g(s)\-(43) Re\g(s)\-(13) Im\g(s)\-(13) l\g(s)\-(13)l\+(2)\-(velho) l\g(s)\-(14)l\+(2)\-(velho) l\g(s)\-(13)l\+(2)\-(novo) l\g(s)\-(14)l\+(2)\-(novo)
MHz 
- rho11 rho22 rho33 rho44 Re_rho12 Im_rho12 Re_rho23 Im_rho23 Re_rho14 Im_rho14 Re_rho43 Im_rho43 Re_rho13 Im_rho13 rho13^2 rho14^2 rho13^2novo rho14^2novo
-92.000000 0.9835233837219782 0.0164019178986979 0.0000628204085604 0.0000118779707541 -0.1258756094179309 -0.0043500600006400 -0.0001637416708840 -0.0001742322430371 0.0000000005543314 -0.0000000003475320 0.0000000000005769 0.0000000000089681 0.0013323816837719 0.0011541942717534 3.10741e-06 4.28062e-19 3.10741e-06 4.28062e-19
-90.000000 0.9827930595862296 0.0171258641024735 0.0000682762415160 0.0000128000697880 -0.1285248161684057 -0.0045550218412960 -0.0002008074591706 -0.0001621327329566 0.0000000004703430 -0.0000000004598934 0.0000000000005415 0.0000000000097507 0.0015994556383685 0.0010275870383189 3.61419e-06 4.32724e-19 3.61419e-06 4.32724e-19
-88.000000 0.9820132523901054 0.0178986921366061 0.0000742399892878 0.0000138154839842 -0.1312855105282218 -0.0047609698915841 -0.0002362494198674 -0.0001421327666613 0.0000000003585885 -0.0000000005553793 0.0000000000004792 0.0000000000105942 0.0018450599605573 0.0008442834234452 4.11706e-06 4.37032e-19 4.11706e-06 4.37032e-19
-86.000000 0.9811803486164827 0.0187239724847592 0.0000807432353652 0.0000149356633924 -0.1341614350575910 -0.0049666072941664 -0.0002677827632438 -0.0001141190209049 0.0000000002216415 -0.0000000006259339 0.0000000000003894 0.0000000000114981 0.0020534685663022 0.0006066276964598 4.58473e-06 4.40918e-19 4.58473e-06 4.40918e-19
-84.000000 0.9802905668112020 0.0196054402269805 0.0000878192857089 0.0000161736761320 -0.1371559340268176 -0.0051712425650529 -0.0002927988783156 -0.0000786377923679 0.0000000000645761 -0.0000000006634243 0.0000000000002739 0.0000000000124616 0.0022079974738139 0.0003216513038336 4.97871e-06 4.44302e-19 4.97871e-06 4.44302e-19
-82.000000 0.9793399111276402 0.0205470383384146 0.0000955060708404 0.0000175444631207 -0.1402720380737502 -0.0053751493266899 -0.0003085222974806 -0.0000371033330947 -0.0000000001046712 -0.0000000006603971 0.0000000000001379 0.0000000000134839 0.0022923132274975 0.0000020269261412 5.2547e-06 4.4708e-19 5.2547e-06 4.4708e-19
-80.000000 0.9783240786180919 0.0215530052005699 0.0001038510424114 0.0000190651389476 -0.1435126727564414 -0.0055799703924861 -0.0003122709424812 0.0000080080499955 -0.0000000002751325 -0.0000000006110872 -0.0000000000000085 0.0000000000145659 0.0022922935545030 -0.0003332513063012 5.36567e-06 4.49126e-19 5.36567e-06 4.49126e-19
-78.000000 0.9772383005319553 0.0226280254292125 0.0001129186888839 0.0000207553499645 -0.1468810282159103 -0.0057891273862490 -0.0003018381266223 0.0000530208090495 -0.0000000004329649 -0.0000000005126594 -0.0000000000001505 0.0000000000157119 0.0021984558131391 -0.0006587239483772 5.26713e-06 4.50278e-19 5.26713e-06 4.50278e-19
-76.000000 0.9760770966784174 0.0237774643976038 0.0001228012197127 0.0000226377042749 -0.1503811195199417 -0.0060081711717259 -0.0002760018978455 0.0000930416344254 -0.0000000005620914 -0.0000000003666051 -0.0000000000002673 0.0000000000169317 0.0020088662998113 -0.0009431927679013 4.92516e-06 4.50346e-19 4.92516e-06 4.50346e-19
-74.000000 0.9748339249591630 0.0250077040740093 0.0001336326738028 0.0000247382930167 -0.1540185465576929 -0.0062449784909195 -0.0002351417609850 0.0001221403577963 -0.0000000006454885 -0.0000000001801333 -0.0000000000003332 0.0000000000182443 0.0017322800987236 -0.0011516983422463 4.3272e-06 4.49103e-19 4.3272e-06 4.49103e-19
-72.000000 0.9735007185023419 0.0263265881008356 0.0001456060686292 0.0000270873281816 -0.1578014231280400 -0.0065096717611849 -0.0001819002860975 0.0001338236918617 -0.0000000006672538 0.0000000000327215 -0.0000000000003189 0.0000000000196811 0.0013910292269498 -0.0012491137456749 3.49525e-06 4.46298e-19 3.49525e-06 4.46298e-19
-70.000000 0.9720673239328764 0.0277439640524466 0.0001589920857633 0.0000297199288874 -0.1617413826937867 -0.0068141224342687 -0.0001217650020329 0.0001218905181695 -0.0000000006154917 0.0000000002506767 -0.0000000000001956 0.0000000000212898 0.0010228855430874 -0.0012055864995877 2.49973e-06 4.41669e-19 2.49973e-06 4.41669e-19
-68.000000 0.9705208891354515 0.0292722776690092 0.0001741561009309 0.0000326770945960 -0.1658544829326712 -0.0071709106936050 -0.0000633669433310 0.0000817187047749 -0.0000000004858672 0.0000000004459874 0.0000000000000599 0.0000000000231364 0.0006808170359902 -0.0010037411089308 1.47101e-06 4.34972e-19 1.47101e-06 4.34972e-19
-66.000000 0.9688452975535753 0.0309271273432690 0.0001915681947620 0.0000360069083849 -0.1701617318348662 -0.0075916791701684 -0.0000182098981872 0.0000119391679945 -0.0000000002853768 0.0000000005870147 0.0000000000004568 0.0000000000253065 0.0004293305089312 -0.0006469771128756 6.02904e-07 4.26026e-19 6.02904e-07 4.26026e-19
-64.000000 0.9670208021581272 0.0327276332523335 0.0002117985765445 0.0000397660129902 -0.1746888702414194 -0.0080849624326522 0.0000005087426977 -0.0000837181958574 -0.0000000000354651 0.0000000006430483 0.0000000000009810 0.0000000000279006 0.0003361282792593 -0.0001673264047207 1.4098e-07 4.14769e-19 1.4098e-07 4.14769e-19
-62.000000 0.9650240572269905 0.0346964316595912 0.0002354897204434 0.0000440213929805 -0.1794650186891423 -0.0086538164351764 -0.0000197106098394 -0.0001948781125333 0.0000000002268588 0.0000000005914780 0.0000000000015868 0.0000000000310249 0.0004583676490353 0.0003697668067507 3.46828e-07 4.01311e-19 3.46828e-07 4.01311e-19
-60.000000 0.9628287439708814 0.0368591050732336 0.0002632984811873 0.0000488524746956 -0.1845199059489987 -0.0092939034085780 -0.0000869738422333 -0.0003040555621487 0.0000000004516243 0.0000000004266307 0.0000000000021929 0.0000000000347746 0.0008242193899850 0.0008674415583394 1.43179e-06 3.85978e-19 1.43179e-06 3.85978e-19
-58.000000 0.9604068818719383 0.0392429551107685 0.0002958094946548 0.0000543535226170 -0.1898797332013581 -0.0099930361687564 -0.0002003885077294 -0.0003883163205355 0.0000000005839109 0.0000000001683538 0.0000000000026889 0.0000000000392113 0.0014129197811767 0.0012103190332640 3.46121e-06 3.69295e-19 3.46121e-06 3.69295e-19
-56.000000 0.9577306492873344 0.0418752760373599 0.0003334383956694 0.0000606362796121 -0.1955623556150200 -0.0107333781545199 -0.0003457667120502 -0.0004240917818776 0.0000000005780651 -0.0000000001331141 0.0000000000029579 0.0000000000443411 0.0021399852288050 0.0012912415370160 6.24684e-06 3.51879e-19 6.24684e-06 3.51879e-19
-54.000000 0.9547740737474201 0.0447817228577012 0.0003763705904662 0.0000678328044433 -0.2015733344929987 -0.0114972364997640 -0.0004938982635855 -0.0003955382181082 0.0000000004166713 -0.0000000004007392 0.0000000000029208 0.0000000000501037 0.0028577679970271 0.0010507324928133 9.27088e-06 3.34207e-19 9.27088e-06 3.34207e-19
-52.000000 0.9515133730042405 0.0479859164657895 0.0004246119614169 0.0000760985685559 -0.2079052396536994 -0.0122763125866911 -0.0006044775967919 -0.0003051790792133 0.0000000001290342 -0.0000000005473843 0.0000000000025944 0.0000000000563915 0.0033827685065440 0.0005202622182953 1.17138e-05 3.16279e-19 1.17138e-05 3.16279e-19
-50.000000 0.9479243284570651 0.0515118143413128 0.0004782410324483 0.0000856161691679 -0.2145427166755081 -0.0130821730748846 -0.0006383949461274 -0.0001827983660541 -0.0000000002006432 -0.0000000005069878 0.0000000000021456 0.0000000000631163 0.0035562427160792 -0.0001502401615164 1.26694e-05 2.97294e-19 1.26694e-05 2.97294e-19
-48.000000 0.9439754357274399 0.0553900555617640 0.0005379081759718 0.0000966005348424 -0.2214743239430805 -0.0139529524563265 -0.0005781372736266 -0.0000854624171121 -0.0000000004479517 -0.0000000002737552 0.0000000000018995 0.0000000000703269 0.0033294627869890 -0.0007088904177786 1.15878e-05 2.75603e-19 1.15878e-05 2.75603e-19
-46.000000 0.9396174205438884 0.0596677926364174 0.0006054797355512 0.0001093070841717 -0.2287082284670243 -0.0149494505324096 -0.0004494771417876 -0.0000806220256158 -0.0000000004945003 0.0000000000689785 0.0000000000022494 0.0000000000783462 0.0028388957020995 -0.0008870338970548 8.84616e-06 2.49289e-19 8.84616e-06 2.49289e-19
-44.000000 0.9347732378073277 0.0644182487344431 0.0006844690762770 0.0001240443819650 -0.2362831477776993 -0.0161357844347305 -0.0003288879899421 -0.0002097708844737 -0.0000000002983441 0.0000000003585418 0.0000000000034441 0.0000000000878353 0.0024097497205290 -0.0005481798717946 6.10739e-06 2.17561e-19 6.10739e-06 2.17561e-19
-42.000000 0.9293363313788919 0.0697428082996894 0.0007796689102212 0.0001411914112091 -0.2442620239750496 -0.0175486117024639 -0.0003169904638417 -0.0004457854997357 0.0000000000468929 0.0000000004245994 0.0000000000053180 0.0000000000996576 0.0024266566405047 0.0001652186750217 5.91596e-06 1.82484e-19 5.91596e-06 1.82484e-19
-40.000000 0.9231843182051460 0.0757589003912402 0.0008955654863329 0.0001612159172612 -0.2527006058141498 -0.0191736777292701 -0.0004715294946328 -0.0006789436110515 0.0000000003246636 0.0000000002099472 0.0000000000071816 0.0000000001144751 0.0030770461010296 0.0008186902566779 1.01385e-05 1.49484e-19 1.01385e-05 1.49484e-19
-38.000000 0.9162047475294354 0.0825764379282065 0.0010341284748700 0.0001846860674827 -0.2616018038181761 -0.0209582423891502 -0.0007334964102237 -0.0007737201368156 0.0000000003249774 -0.0000000001378143 0.0000000000081651 0.0000000001322633 0.0041169927326810 0.0009286221859676 1.7812e-05 1.24603e-19 1.7812e-05 1.24603e-19
-36.000000 0.9083101208545142 0.0902833504978430 0.0011942591494448 0.0002122694981994 -0.2708918588747822 -0.0228720639370659 -0.0009285198315846 -0.0006949401177987 0.0000000000421242 -0.0000000003266960 0.0000000000080600 0.0000000001522829 0.0049371315776717 0.0003994376888452 2.45348e-05 1.08505e-19 2.45348e-05 1.08505e-19
-34.000000 0.8994101852274839 0.0989694710861993 0.0013756134705313 0.0002447302157936 -0.2804557047264545 -0.0249772703724893 -0.0009116979773171 -0.0005985819410294 -0.0000000002478891 -0.0000000001771929 0.0000000000079842 0.0000000001740495 0.0050854503267692 -0.0002329605656112 2.59161e-05 9.28464e-20 2.59161e-05 9.28464e-20
-32.000000 0.8893438455569538 0.1087877695643206 0.0015854272191734 0.0002829576595286 -0.2902125483923733 -0.0274190689598480 -0.0007687948743205 -0.0007187151054424 -0.0000000002268267 0.0000000001282276 0.0000000000096234 0.0000000001988107 0.0048722880338159 -0.0002391691254529 2.37964e-05 6.78927e-20 2.37964e-05 6.78927e-20
-30.000000 0.8778464023810107 0.1199862370258991 0.0018393119626795 0.0003280486304294 -0.3001298231946331 -0.0303031534591220 -0.0007851943133608 -0.0010616195622166 0.0000000000490794 0.0000000001909349 0.0000000000129570 0.0000000002294362 0.0051769205456408 0.0003650459830854 2.69338e-05 3.88649e-20 2.69338e-05 3.88649e-20
-28.000000 0.8646312332091292 0.1328387144888223 0.0021486827922918 0.0003813695097554 -0.3101019452738188 -0.0336035229316442 -0.0010476573657369 -0.0013200144320962 0.0000000001504638 -0.0000000000478569 0.0000000000155153 0.0000000002674204 0.0062447044407824 0.0006664221413505 3.94405e-05 2.49296e-20 3.94405e-05 2.49296e-20
-26.000000 0.8494895754118438 0.1475551966270851 0.0025107585828235 0.0004444693782670 -0.3198257006793056 -0.0372898749274911 -0.0012258245599187 -0.0013545712497105 -0.0000000000551983 -0.0000000001523190 0.0000000000161952 0.0000000003110052 0.0071714263460807 0.0002700178231658 5.15023e-05 2.62479e-20 5.15023e-05 2.62479e-20
-24.000000 0.8321957570429060 0.1643572360314201 0.0029280604642950 0.0005189464613930 -0.3288730381368805 -0.0415035979373916 -0.0011570873044250 -0.0015241179054812 -0.0000000001269205 0.0000000000253115 0.0000000000180892 0.0000000003599266 0.0075435026325699 0.0001050959461330 5.69155e-05 1.67495e-20 5.69155e-05 1.67495e-20
-22.000000 0.8123686387142366 0.1835984716145895 0.0034263075678579 0.0006065821033135 -0.3367811711161554 -0.0463986116806080 -0.0012278236061149 -0.0019493890844136 0.0000000000286329 0.0000000000368021 0.0000000000220701 0.0000000004188786 0.0083381301661690 0.0004752439985351 6.97503e-05 2.17424e-21 6.97503e-05 2.17424e-21
-20.000000 0.7896642521729205 0.2056092929667013 0.0040170753059088 0.0007093795544919 -0.3428599282033282 -0.0519621616169103 -0.0014287556893033 -0.0022316728808595 -0.0000000000177444 -0.0000000000845760 0.0000000000241783 0.0000000004889155 0.0095833584510661 0.0004231298817994 9.20198e-05 7.46797e-21 9.20198e-05 7.46797e-21
-18.000000 0.7638896552340104 0.2305870430713566 0.0046943497076396 0.0008289519869787 -0.3460773186011936 -0.0582612344152798 -0.0014163596017716 -0.0025612229008182 -0.0000000000672513 -0.0000000000111169 0.0000000000262888 0.0000000005677008 0.0105234775487389 0.0003247266982197 0.000110849 4.64632e-21 0.000110849 4.64632e-21
-16.000000 0.7348413781467920 0.2587128397412651 0.0054794421565615 0.0009663399553771 -0.3451553490614367 -0.0653833779813693 -0.0015004944469743 -0.0030658268483053 -0.0000000000093699 -0.0000000000422455 0.0000000000293728 0.0000000006592991 0.0118128069338181 0.0004780967618051 0.000139771 1.87248e-21 0.000139771 1.87248e-21
-14.000000 0.7025991923452006 0.2899141225899009 0.0063650782344454 0.0011216068304573 -0.3384415836453100 -0.0732627466128193 -0.0015239956104760 -0.0035076620744280 -0.0000000000525242 -0.0000000000503687 0.0000000000305145 0.0000000007618850 0.0131959693879390 0.0003908515372902 0.000174286 5.2958e-21 0.000174286 5.2958e-21
-12.000000 0.6676222675033154 0.3237442313086131 0.0073409491557538 0.0012925520323209 -0.3239524995265680 -0.0818186824965845 -0.0015070705316024 -0.0040852860552106 -0.0000000000277309 -0.0000000000579097 0.0000000000317986 0.0000000008744848 0.0146792237448919 0.0004426888290707 0.000215676 4.12253e-21 0.000215676 4.12253e-21
-10.000000 0.6309383379993609 0.3592101404643145 0.0083774115372276 0.0014741099990937 -0.2995412430653973 -0.0907816411324111 -0.0014288799933680 -0.0046447200902088 -0.0000000000398779 -0.0000000000653514 0.0000000000310201 0.0000000009935661 0.0162341499428810 0.0003914556055182 0.000263701 5.86105e-21 0.000263701 5.86105e-21
-8.000000 0.5943473467408581 0.3945727911348355 0.0094228709048318 0.0016569912194661 -0.2632288756195010 -0.0997216247795039 -0.0012942387636127 -0.0052341539899439 -0.0000000000322091 -0.0000000000806805 0.0000000000287981 0.0000000011133859 0.0177976542046369 0.0003622103437825 0.000316888 7.54676e-21 0.000316888 7.54676e-21
-6.000000 0.5604888906754095 0.4272864049117007 0.0103971852352922 0.0018275191775883 -0.2137935512989639 -0.1079913239740157 -0.0010676925772767 -0.0057803305427828 -0.0000000000260488 -0.0000000000876588 0.0000000000244124 0.0000000012246557 0.0192257373679716 0.0003017563115213 0.00036972 8.36261e-21 0.00036972 8.36261e-21
-4.000000 0.5326462083751735 0.4541820227682250 0.0112032488027508 0.0019685200538479 -0.1515025634267659 -0.1147900564643807 -0.0007665327003301 -0.0062285772993750 -0.0000000000196713 -0.0000000000956447 0.0000000000178042 0.0000000013165417 0.0204037525455883 0.0002149675326932 0.000416359 9.53487e-21 0.000416359 9.53487e-21
-2.000000 0.5141903759318088 0.4720076706885313 0.0117396413725770 0.0020623120070905 -0.0787249970375882 -0.1192961429387159 -0.0004019032943407 -0.0065277172506426 -0.0000000000104870 -0.0000000001014773 0.0000000000094167 0.0000000013776087 0.0211851289314086 0.0001123549830007 0.000448822 1.04076e-20 0.000448822 1.04076e-20
0.000000 0.5077119561215216 0.4782644805517909 0.0119282718804737 0.0020952914462061 0.0000000000000000 -0.1208777921923440 0.0000000000000000 -0.0066330961839599 0.0000000000000000 -0.0000000001035034 0.0000000000000000 0.0000000013990682 0.0214592402759807 0.0000000000000000 0.000460499 1.07129e-20 0.000460499 1.07129e-20
